model_scale	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size	num_heads	matrix_lr	beta2	warmdown_ratio
1	8	539.306946516037	1703.1688470840454	0.0	0.07911992463561562	4.718592	18	50.332176	5.903148788805424	262144	6	0.001	0.999	0.05
1	8	369.67602252960205	2803.7755210399628	0.0	0.12985333821710202	4.980736	19	50.332176	5.868486702433513	262144	6	0.001	0.999	0.2
1	8	954.0338730812073	2342.7646267414093	0.0	0.022362898303601834	3.670016	14	50.332176	6.1602604897508275	262144	6	0.001	0.999	0.7
1	8	925.0892539024353	2084.365293979645	0.0	0.011531299489160703	3.145728	12	50.332176	6.3280810091659765	262144	6	0.001	0.95	0.05
1	8	1014.6441905498505	2393.40202999115	0.0	0.031540557784613184	4.194304	16	50.332176	6.03309717987926	262144	6	0.001	0.95	0.2
1	8	921.9562780857086	2613.954703092575	0.0	0.011570484950872604	3.145728	12	50.332176	6.3280810091659765	262144	6	0.001	0.95	0.7
1	8	375.7704267501831	1317.6245229244232	0.0	0.3264653776294069	8.650752	33	50.332176	5.554169189942202	262144	6	0.001	0.8	0.05
1	8	376.27916717529297	564.3930208683014	0.0	0.3260239869028204	8.650752	33	50.332176	5.552177378162785	262144	6	0.001	0.8	0.2
1	8	377.0216932296753	564.7471830844879	0.0	0.32538189837323156	8.650752	33	50.332176	5.543418522117794	262144	6	0.001	0.8	0.7
1	8	375.7723708152771	564.1115970611572	0.0	0.32646368865492564	8.650752	33	50.332176	5.560515718183816	262144	6	0.04	0.999	0.05
1	8	745.3469030857086	944.3300683498383	0.0	0.05009235859002809	4.456448	17	50.332176	5.987905042530446	262144	6	0.04	0.999	0.2
